t	K	U	E	T	P
10040	933.1615576120273	-4886.412714616753	-3953.251157004727	0.7200320660586631	0.575460744690829
10060	918.0947847122616	-4858.042554331727	-3939.947769619467	0.7084064696853869	0.4082324097683519
10080	907.8945183037795	-4842.418236699149	-3934.5237183953695	0.7005358937529161	0.31958251717093134
10100	893.8078581088472	-4836.218664227782	-3942.410806118935	0.6896665571827526	0.29834099793513397
10120	915.3032887263131	-4864.383499238385	-3949.0802105120733	0.706252537597464	0.43079745241472356
10140	920.3093629384468	-4878.728178096526	-3958.4188151580806	0.7101152491809002	0.4760680028236123
10160	914.9851513007532	-4871.588524253317	-3956.603372952564	0.7060070611888529	0.48293669983116383
10180	919.899340546418	-4871.206236781911	-3951.306896235493	0.709798873878409	0.5594673403917416
10200	922.8117003968725	-4874.19723799543	-3951.3855375985586	0.7120460651210435	0.5241319765602225
10220	908.5891956989632	-4867.276985594963	-3958.687789896002	0.7010719102615456	0.4516845772689345
10240	908.74025874652	-4865.600825260167	-3956.860566513648	0.7011884712550307	0.4845291494071728
10260	920.9544324755104	-4883.215562466435	-3962.261129990923	0.7106129880212271	0.5979377439625443
10280	885.8156589682882	-4854.207371839955	-3968.3917128716666	0.6834997368582469	0.41790260821067005
10300	905.6045901306594	-4879.8017619389675	-3974.197171808309	0.6987689738662499	0.5545024725778293
10320	904.6042450163648	-4883.379326668061	-3978.7750816516973	0.6979971026360838	0.5619303621870995
10340	928.968284534492	-4912.303420677901	-3983.3351361434097	0.7167965158445154	0.7619666514158994
10360	924.2711885842376	-4892.31115028179	-3968.039961697553	0.7131722134137638	0.6346327196746746
10380	911.242378865291	-4889.647204753441	-3978.4048258881508	0.703119119494823	0.5846334611886103
10400	889.5777639516967	-4877.963512661723	-3988.385748710026	0.686402595641741	0.513051550970094
10420	889.9243129014455	-4882.568576613286	-3992.6442637118403	0.6866699945227203	0.5834193939513642
10440	923.5296547470016	-4901.091208640147	-3977.5615538931465	0.7126000422430565	0.6883609392602741
10460	901.9732978371964	-4873.002271877815	-3971.0289740406174	0.695967050800306	0.4441273812090776
10480	906.2410141803932	-4880.321282253415	-3974.080268073022	0.6992600418058589	0.5137304875020399
10500	905.0721951681542	-4878.276768221198	-3973.2045730530444	0.6983581752840695	0.47370756435229355
10520	900.9939638310982	-4881.613585049165	-3980.6196212180666	0.6952113918449832	0.5016499551976372
10540	886.3926358010342	-4858.5530867072575	-3972.1604509062236	0.6839449350316619	0.38042336220742456
10560	913.1913621863016	-4880.293401822035	-3967.102039635732	0.704622964649924	0.5455369886763322
10580	912.5129910112986	-4879.140746366742	-3966.6277553554437	0.7040995301013108	0.5162145452618982
10600	906.627259199041	-4883.4005286589045	-3976.7732694598626	0.6995580703696302	0.5518918984496358
10620	898.2195121414795	-4873.023779712225	-3974.804267570746	0.6930706112202774	0.5023195894006962
10640	891.8742492868918	-4867.045812501018	-3975.1715632141254	0.6881745750670462	0.4638138374723508
10660	913.3427183615128	-4896.36572668385	-3983.023008322336	0.7047397518221549	0.6093240155478676
10680	911.0009535442612	-4894.778080864094	-3983.777127319833	0.702932834524893	0.5709695189034225
10700	901.8403157753506	-4886.274179589466	-3984.4338638141153	0.6958644411846844	0.5223932903414655
10720	907.1233508703123	-4898.634137704883	-3991.5107868345717	0.6999408571530188	0.5887104554276728
10740	888.1694492036311	-4879.633592316181	-3991.4641431125506	0.685315933027493	0.475021288211081
10760	887.4607582298834	-4878.769121692288	-3991.308363462404	0.6847691035724408	0.5010621409357893
10780	887.0461294115081	-4893.4703223131655	-4006.424192901657	0.6844491739286328	0.5794383601937374
10800	881.2404126317637	-4891.331748838551	-4010.0913362067863	0.6799694541911757	0.5835876546374831
10820	877.1694463472446	-4892.162853337178	-4014.993406989934	0.6768282765025034	0.6369967665124133
10840	877.6223027455029	-4893.636497750745	-4016.014195005242	0.6771777027357275	0.6663478637562557
10860	878.6849141520094	-4900.54280499276	-4021.85789084075	0.6779976189444517	0.6388355647655912
10880	857.9515275485601	-4884.332066848396	-4026.3805392998356	0.6619996354541356	0.515596981985067
10900	893.0011135651782	-4914.0464776554345	-4021.045364090256	0.6890440691089337	0.7184056782346052
10920	871.1757685283476	-4892.4880268255265	-4021.3122582971787	0.6722035250990336	0.596471841924942
10940	844.7348125968665	-4863.78602218149	-4019.0512095846234	0.6518015529296808	0.4523900163121156
10960	888.8498886418138	-4902.551525629715	-4013.7016369879007	0.6858409634581896	0.6757735400814044
10980	892.120675155849	-4905.061238264127	-4012.940563108278	0.6883647184844512	0.6498084550885158
11000	880.4419892892818	-4880.9768100085685	-4000.5348207192874	0.6793533867972852	0.46402591230574614
11020	889.5625954450343	-4883.606786475867	-3994.044191030832	0.6863908915470945	0.4886013466279023
11040	895.4033482147246	-4897.151920702999	-4001.7485724882745	0.6908976452274109	0.5855800933604507
11060	891.3879173224443	-4898.301362361361	-4006.913445038916	0.6877993189216391	0.6552232233525515
11080	894.5213468143272	-4907.904709711523	-4013.383362897196	0.6902170885913019	0.6567371548036951
11100	898.2387832259174	-4912.390502131487	-4014.1517189055703	0.6930854808841954	0.721599152913267
11120	885.2752424582343	-4889.255282771117	-4003.980040312882	0.6830827488103658	0.5811143861435129
11140	912.4388168666876	-4906.0913640771905	-3993.652547210503	0.7040422969650366	0.7110474570233906
11160	896.565304295175	-4884.6249872957615	-3988.0596830005843	0.6917942162771412	0.6215061390527128
11180	900.9449128881946	-4894.049723808162	-3993.1048109199664	0.695173543895212	0.6669558782808159
11200	889.8398300938741	-4886.278639411828	-3996.438809317955	0.6866048071711993	0.5841412391265871
11220	920.9922986802524	-4916.6973111019915	-3995.7050124217385	0.7106422057717994	0.7587476812118465
11240	878.8315795988325	-4874.704354715823	-3995.87277511699	0.6781107867274943	0.5001268177272703
11260	896.2389077934531	-4886.471706851366	-3990.2327990579133	0.691542367124578	0.6096014646180901
11280	877.704710191438	-4871.401815496834	-3993.6971053053953	0.6772412887279614	0.4946821937360454
11300	900.1395781972602	-4889.375386040559	-3989.235807843298	0.6945521436707253	0.5778884766814272
11320	896.3014431753875	-4886.954422925521	-3990.652979750133	0.6915906197340955	0.5440033640287678
11340	900.8210802548434	-4888.254411306572	-3987.4333310517277	0.695077994023799	0.5746397754885775
11360	884.4013514710263	-4874.050360830892	-3989.649009359865	0.6824084502091252	0.43853537662613806
11380	927.0630520806393	-4903.332738839461	-3976.269686758823	0.7153264290745674	0.665148256968097
11400	934.0473720984276	-4909.347036173278	-3975.2996640748506	0.7207155648907622	0.7959470312499038
11420	908.1218891304552	-4895.629992935544	-3987.5081038050885	0.7007113342055982	0.6938591040803114
11440	902.6571642370831	-4905.4631966966535	-4002.8060324595704	0.6964947254915765	0.6839436084147079
11460	897.7197111790771	-4916.931918657691	-4019.2122074786143	0.6926849623295348	0.7348392661191936
11480	883.0985518537357	-4905.337826219191	-4022.239274365455	0.6814032035908454	0.6662775671619121
11500	894.4784201622809	-4918.7805905869445	-4024.302170424663	0.6901839661745997	0.7715424115332509
11520	861.7343287234502	-4891.306768714318	-4029.5724399908677	0.6649184635211808	0.5769569981885457
11540	863.8936501122959	-4897.082499340113	-4033.188849227817	0.6665846065681296	0.5998383694111851
11560	840.3734972640043	-4880.150996244733	-4039.777498980728	0.6484363404814847	0.5037149000169271
11580	856.0585765573942	-4890.965711306054	-4034.9071347486597	0.660539025121446	0.566054201596508
