Temperature (K)	Pressure (MPa)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
317.16	0.10000	54988.	1.8186e-05	3.3198	3.3216	11.269	73.049	75.303	1535.1	-0.20968	606.39	0.63357	liquid
318.16	0.10000	54965.	1.8193e-05	3.3951	3.3969	11.506	72.964	75.306	1536.5	-0.20910	595.66	0.63479	liquid
319.16	0.10000	54942.	1.8201e-05	3.4704	3.4722	11.743	72.879	75.310	1537.8	-0.20852	585.25	0.63600	liquid
320.16	0.10000	54918.	1.8209e-05	3.5457	3.5475	11.978	72.793	75.314	1539.1	-0.20795	575.13	0.63718	liquid
321.16	0.10000	54894.	1.8217e-05	3.6210	3.6228	12.213	72.706	75.319	1540.3	-0.20738	565.29	0.63835	liquid
322.16	0.10000	54869.	1.8225e-05	3.6963	3.6981	12.447	72.619	75.323	1541.5	-0.20681	555.72	0.63950	liquid
323.16	0.10000	54844.	1.8234e-05	3.7716	3.7735	12.681	72.532	75.328	1542.6	-0.20624	546.42	0.64063	liquid
324.16	0.10000	54819.	1.8242e-05	3.8470	3.8488	12.914	72.444	75.333	1543.7	-0.20568	537.38	0.64175	liquid
325.16	0.10000	54793.	1.8250e-05	3.9223	3.9241	13.146	72.356	75.339	1544.7	-0.20511	528.57	0.64284	liquid
326.16	0.10000	54767.	1.8259e-05	3.9976	3.9995	13.377	72.267	75.345	1545.6	-0.20455	520.01	0.64392	liquid
327.16	0.10000	54741.	1.8268e-05	4.0730	4.0748	13.608	72.178	75.351	1546.5	-0.20399	511.67	0.64498	liquid
328.16	0.10000	54714.	1.8277e-05	4.1483	4.1502	13.838	72.089	75.357	1547.4	-0.20343	503.54	0.64603	liquid
329.16	0.10000	54687.	1.8286e-05	4.2237	4.2255	14.067	71.999	75.364	1548.2	-0.20288	495.63	0.64706	liquid
330.16	0.10000	54660.	1.8295e-05	4.2991	4.3009	14.296	71.909	75.371	1549.0	-0.20232	487.93	0.64807	liquid
331.16	0.10000	54632.	1.8304e-05	4.3744	4.3763	14.524	71.818	75.378	1549.7	-0.20177	480.42	0.64907	liquid
332.16	0.10000	54604.	1.8314e-05	4.4498	4.4517	14.751	71.727	75.385	1550.4	-0.20122	473.10	0.65005	liquid
333.16	0.10000	54575.	1.8323e-05	4.5252	4.5270	14.977	71.636	75.393	1551.0	-0.20066	465.96	0.65101	liquid
